city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
 الرياض,   حي المصيف ,شمال,425,33,4,3,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,80000
 الرياض,   حي طويق ,جنوب غربي,300,0,4,5,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,37000
 الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 الرياض,   حي العارض ,جنوب,360,0,5,5,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,110000
 الرياض,   حي المونسية ,جنوب,312,0,3,4,2,1,1,0,1,0,0,1,0,1,0,0,1,1,0,65000
 الرياض,   حي قرطبة ,شمال,390,5,7,5,4,1,1,1,1,0,1,0,0,1,0,0,1,0,0,130000
 الرياض,   حي الرمال ,جنوب,280,3,4,3,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,3300
 الرياض,   حي الملقا ,جنوب,200,2,6,5,2,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
 الرياض,   حي النرجس ,شرق,230,0,5,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,85000
 الرياض,   حي الفيحاء ,4 شوارع,360,0,4,3,2,1,1,0,0,1,1,0,1,1,0,0,1,0,0,75000
 الرياض,   حي المونسية ,شمال,312,2,3,5,2,1,1,0,1,1,1,1,0,1,0,0,1,0,0,145000
 الرياض,   حي الرمال ,شرق,460,4,5,5,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,75000
 الرياض,   حي الرحمانية ,غرب,300,2,3,5,2,1,1,1,1,0,1,0,1,1,0,0,0,0,0,220000
 الرياض,   حي المهدية ,جنوب,250,0,5,5,2,0,1,0,1,0,0,0,0,1,0,1,1,0,0,50000
 الرياض,   حي الرمال ,شمال شرقي,350,0,5,5,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,55000
 الرياض,   حي الرمال ,شمال,450,0,5,5,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,60000
 الرياض,   حي الزهرة ,جنوب شرقي,500,14,4,5,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,45000
 الرياض,   حي النرجس ,شرق,260,0,3,3,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,100000
 الرياض,   حي الشهداء ,جنوب,205,0,5,5,2,0,1,0,1,0,1,0,0,1,0,1,1,1,0,140000
 الرياض,   حي العارض ,شرق,250,2,4,5,2,1,0,0,1,0,1,0,0,1,0,1,1,0,0,85000
 الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 الرياض,   حي الرمال ,شرق,460,4,1,5,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,75000
 الرياض,   حي الملقا ,جنوب,200,3,7,5,2,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
 الرياض,   حي حطين ,شمال,155,0,3,5,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,180000
 الرياض,   حي الرمال ,غرب,400,0,5,5,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,60000
 الرياض,   حي اليرموك ,شمال,300,10,4,3,2,1,1,1,1,0,0,0,0,1,0,0,1,0,0,65000
 الرياض,   حي الملقا ,جنوب,375,4,5,5,3,1,1,1,1,0,1,1,0,1,0,0,0,0,0,120000
 الرياض,   حي العارض ,شرق,300,2,5,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000
 الرياض,   حي الرمال ,شمال,300,0,4,5,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,38000
 الرياض,   حي عليشة ,جنوب شرقي,340,0,3,3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,55000
 الرياض,   حي العارض ,شرق,250,2,7,4,2,1,1,1,1,1,0,0,0,1,0,0,1,0,0,110000
 الرياض,   حي العقيق ,جنوب,300,15,5,4,3,1,0,1,1,0,1,0,0,0,0,0,1,0,0,120000
 الرياض,   حي الرحمانية ,شمال شرقي,450,13,7,5,2,1,1,1,1,1,1,0,0,1,0,0,1,0,0,120000
 الرياض,   حي المصيف ,غرب,500,10,5,5,5,1,1,1,1,0,1,1,0,1,1,0,1,1,0,150000
 الرياض,   حي المونسية ,غرب,290,0,4,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,60000
 الرياض,   حي المصيف ,جنوب,400,15,3,3,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,80000
 الرياض,   حي النرجس ,شرق,270,0,4,5,2,1,1,1,1,1,1,0,0,0,0,0,1,0,0,100000
 الرياض,   حي ظهرة لبن ,شمال,200,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35000
 الرياض,   حي الملقا ,غرب,200,0,4,5,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,150000
 الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 الرياض,   حي الرمال ,شمال شرقي,300,0,5,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,48000
 الرياض,   حي الملقا ,جنوب,250,2,5,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
 الرياض,   حي العارض ,جنوب,300,2,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,80000
 الرياض,   حي الملك عبدالله ,جنوب,2500,10,6,5,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,800000
 الرياض,   حي اليرموك ,غرب,375,7,4,5,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,65000
 الرياض,   حي العارض ,شمال,250,0,5,4,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,80000
 الرياض,   حي العقيق ,جنوب,300,0,5,5,3,1,0,1,1,0,1,1,0,1,0,0,1,0,0,140000
 الرياض,   حي ظهرة لبن ,شرق,450,2,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,1,60000
 الرياض,   حي النرجس ,شمال,300,0,4,3,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,70000
 الرياض,   حي طويق ,جنوب غربي,320,3,6,5,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,35000
 الرياض,   حي الروضة ,شرق,900,15,4,4,2,1,1,1,1,0,1,1,0,1,0,0,1,0,1,150000
 الرياض,   حي الملقا ,جنوب,375,2,4,4,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,130000
 الرياض,   حي العارض ,جنوب,300,0,4,2,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,80000
 الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 الرياض,   حي المحمدية ,شرق,460,20,5,5,3,1,1,0,1,0,1,1,0,1,1,0,1,0,0,100000
 الرياض,   حي ام سليم ,جنوب شرقي,340,0,4,3,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,45000
 الرياض,   حي الاندلس ,شمال,330,15,7,5,3,1,1,0,1,0,1,1,0,1,0,1,1,0,0,75000
 الرياض,   حي المروج ,شمال,250,3,4,3,2,1,1,1,1,1,1,0,1,1,0,1,0,0,0,190000
 الرياض,   حي المؤتمرات ,غرب,240,15,3,4,3,1,1,1,1,0,1,0,0,1,0,1,1,0,0,200000
 الرياض,   حي السليمانية ,شمال,400,0,6,5,3,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000
 الرياض,   حي القيروان ,شرق,300,0,2,5,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,80000
 الرياض,   حي الرمال ,شمال,206,0,4,4,2,1,1,0,1,0,1,1,0,1,0,0,1,0,0,50000
 الرياض,   حي الواحة ,شرق,550,18,4,4,4,1,1,1,1,0,0,0,0,1,0,0,1,0,0,90000
 الرياض,   حي الفيحاء ,شرق,600,14,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,85000
 الرياض,   حي المهدية ,جنوب,300,0,6,5,2,0,1,0,1,0,0,1,0,1,0,0,1,0,1,42000
 الرياض,   حي الصحافة ,شرق,375,7,3,5,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,140000
 الرياض,   حي ظهرة لبن ,شرق,450,0,7,5,2,1,1,0,1,0,0,1,0,1,0,1,1,0,1,60000
 الرياض,   حي الرمال ,جنوب,290,0,5,5,3,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000
 الرياض,   حي العارض ,غرب,394,0,4,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,1,140000
 الرياض,   حي العقيق ,شمال,1200,15,7,5,4,1,1,1,1,0,1,1,1,1,0,0,1,0,0,400000
 الرياض,   حي المصيف ,شمال,600,20,5,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,125000
 الرياض,   حي العارض ,شمال,312,0,4,5,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,100000
 الرياض,   حي الملقا ,شرق,416,0,4,4,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,160000
 الرياض,   حي السليمانية ,شمال,270,5,3,4,2,1,1,1,1,0,1,0,1,1,0,1,1,0,0,125000
 الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 الرياض,   حي النرجس ,شمال,230,0,4,3,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,80000
 الرياض,   حي العارض ,شرق,300,0,5,4,2,1,1,0,1,0,1,1,0,1,0,1,0,0,0,85000
 الرياض,   حي الزهرة ,شمال,280,10,7,4,2,1,1,0,1,0,0,0,0,1,0,1,1,0,0,35000
 الرياض,   حي العقيق ,جنوب شرقي,850,7,5,5,3,1,1,1,1,0,1,1,0,1,1,0,1,0,1,150000
 الرياض,   حي الصحافة ,غرب,375,10,4,5,4,1,1,1,1,1,1,1,0,1,0,0,1,0,0,105000
 الرياض,   حي الصحافة ,غرب,320,7,5,4,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,90000
 الرياض,   حي المعيزلة ,غرب,300,0,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0,45000
 الرياض,   حي الرائد ,جنوب,375,8,4,5,2,1,1,0,1,0,1,1,0,0,0,0,1,0,0,100000
 الرياض,   حي الصحافة ,شمال شرقي,250,7,4,5,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,95000
 الرياض,   حي الروابي ,4 شوارع,3060,0,4,4,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,80000
 الرياض,   حي طويق ,شرق,264,0,7,5,3,1,1,0,1,0,1,1,0,1,0,1,1,0,1,50000
 الرياض,   حي الرحمانية ,شمال,450,12,7,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,1,130000
 الرياض,   حي اشبيلية ,جنوب,360,6,7,5,2,0,1,1,1,0,1,1,0,1,0,0,1,0,1,80000
 الرياض,   حي الرمال ,شمال,206,2,4,4,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,60000
 الرياض,   حي العقيق ,غرب,318,7,4,4,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,85000
 الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 الرياض,   حي اليرموك ,جنوب شرقي,400,8,7,5,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,60000
 الرياض,   حي الوشام ,شرق,525,25,3,3,2,1,1,0,1,0,1,0,1,1,0,0,1,0,0,90000
 الرياض,   حي اليرموك ,جنوب,275,10,5,5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,60000
 الرياض,   حي المهدية ,شرق,227,0,5,5,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,55000
 الرياض,   حي اليرموك ,غرب,313,6,5,5,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,65000
 الرياض,   حي الملقا ,شرق,488,0,4,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,250000
 الرياض,   حي قرطبة ,شمال,360,10,5,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,75000
